WBS_ID,Task_Name,Project,Start_Date,End_Date,Duration_Days,Predecessors,Resource Names
1,PixelPitch Project,All,10/1/2024,6/12/2025,146,,Project Manager
1.1,Planning,All,10/1/2024,10/15/2024,15,,"AI Team, Backend Team"
1.1.1,Feasibility Study,All,10/1/2024,10/7/2024,7,,"AI, Backend Teams"
1.1.2,Requirements and Scope Definition,All,10/8/2024,10/10/2024,3,1.1.1,AI Team 
1.1.3,Technology Stack Evaluation,All,10/11/2024,10/13/2024,3,1.1.2,All Teams
1.1.4,Team Roles Planning,All,10/14/2024,10/15/2024,2,1.1.3,All Teams
1.2,Data Exploration and Preparation,All,10/11/2024,11/3/2024,24,,
1.2.1,"Identify Data Sources	",All,10/11/2024,10/14/2024,4,1.1.1,AI
1.2.2,Data Discovery,All,10/15/2024,10/17/2024,3,1.2.1,AI
1.2.3,Data Preparation,AI,10/18/2024,11/3/2024,17,1.2.2,AI
1.3,Design,All,11/15/2024,12/8/2024,24,,
1.3.1,System Architecture and Design Research,Backend,11/15/2024,11/24/2024,10,1.2.3,Backend Team
1.3.2,Backend Schema Design,Backend,11/25/2024,11/30/2024,6,1.3.1,Backend Team
1.3.3,Frontend UI/UX Design and Pitch Prototype,Frontend,11/15/2024,12/8/2024,24,,Frontend Team
1.3.4,AI Model Selection Research,AI,11/15/2024,11/23/2024,9,1.2.3,AI Team
1.4,Development,All,"1/20/2025	","3/2/2025	",42,,
1.4.1,AI Development,AI,"1/20/2025	","2/3/2025	",15,,
1.4.1.1,Train and Tune XGBoost Model,AI,1/20/2025,1/26/2025,7,1.3.4,AI Team
"1.4.1.2	","Fine-Tune GPT-2 Model	",AI,1/26/2025,2/3/2025,9,1.4.1,AI Team
1.4.2,Frontend Development,Frontend,"1/20/2025	","2/26/2025	",38,,
1.4.2.1,"Develop MockStream Event System	",Frontend,1/20/2025,1/21/2025,2,1.2.3,Frontend Team
1.4.2.2,Develop 3D Football Pitch Component,Frontend,1/22/2025,2/17/2025,27,1.4.3,Frontend Team
"1.4.2.3	","Build UI Pages (Sign In, Admin, Dashboard)",Frontend,2/18/2025,2/26/2025,9,,Frontend Team
1.4.3,Backend Development,Backend,1/20/2025,"3/2/2025	",42,,Backend Team
1.4.3.1,Project Setup and Architecture,Backend,1/20/2025,1/24/2025,5,1.3.1,Backend Team
1.4.3.2,Domain & Data Modeling,Backend,1/25/2025,1/30/2025,6,1.4.3.1,Backend Team
1.4.3.3,RabbitMQ Integration,Backend,1/31/2025,2/4/2025,5,1.4.3.2,Backend Team
1.4.3.4,Database Persistence,Backend,2/5/2025,2/10/2025,6,,Backend Team
1.4.3.5,Real-Time Broadcasting (SignalR),Backend,2/11/2025,2/17/2025,7,1.4.3.4,Backend Team
1.4.3.6,API and Client Integration,Backend,2/18/2025,2/24/2025,7,1.4.3.5,Backend Team
1.4.3.7,"FastAPI for AI Model	",Backend,2/25/2025,3/2/2025,6,1.4.1.2,Backend Team
1.5,Testing,All,4/1/2025,4/10/2025,10,1.4,
1.5.1,Unit Testing (Backend & Frontend),Backend and Frontend,4/1/2025,4/3/2025,3,"1.4.2, 1.4.3","Frontend Team, Backend Team"
1.5.2,Integration Testing (Backend & Frontend),Backend and Frontend,4/4/2025,4/6/2025,3,1.5.1,"Frontend Team, Backend Team"
1.5.3,E2E + Visual Tests (Frontend) / Perf Tests (Backend),Backend and Frontend,4/7/2025,4/10/2025,4,1.5.2,"Frontend Team, Backend Team"
1.6,Deployment ,,4/25/2025,4/29/2025,5,1.5,
1.6.1,Server Setup ,Backend,4/25/2025,4/27/2025,3,1.5,Backend
1.6.2,Tailscale Setup & Remote UI Access,Frontend,4/27/2025,4/28/2025,2,1.6.1,Frontend
1.6.3,Final Operation Testing,All,4/28/2025,4/29/2025,2,1.6.2,All Teams
1.7,Maintenance and support,All,5/9/2025,6/12/2025,31,1.6,All Teams
1.7.1,System Monitoring & Logging,Backend,5/9/2025,5/20/2025,12,1.6,Backend Team
1.7.2,Bug Fixes & Patches,All,5/21/2025,5/28/2025,8,1.7.1,All Teams
1.7.3,Minor Feature Updates,All,6/4/2025,6/12/2025,9,1.7.2,All Teams
1.8,Documentation and Handover,All,6/2/2025,6/10/2025,9,1.7,All
1.8.1,Team-Specific Documentation (AI),AI,6/2/2025,6/4/2025,3,,AI
1.8.2,Team-Specific Documentation (Backend),Backend,6/2/2025,6/5/2025,4,,Backend
1.8.3,Team-Specific Documentation (Frontend),Frontend,6/2/2025,6/4/2025,3,,Frontend
1.8.4,Consolidation into Final Documentation,All,6/6/2025,6/8/2025,3,"1.8.1, 1.8.2, 1.8.3",All Teams
1.8.5,Internal Review and Adjustments,All,6/9/2025,6/10/2025,2,1.8.4,All Teams
